Headline,Source,Category,Scraped_At
‘No connection to Pushpa’: Rajkumar Periyasamy clears the air on Dhanush starrer ‘OM’ title controversy,TOI,Tech,2026-06-19 14:06:55
"'Nooru Saami' Twitter review: Director Sasi’s emotional drama wins hearts with understated storytelling, Vijay Antony and Swasika’s powerful performances praised",TOI,Tech,2026-06-19 14:06:55
"Samantha Ruth Prabhu consumes 100g protein daily at just 50 kg, has banned 'superfoods' from diet after myositis diagnosis",TOI,Tech,2026-06-19 14:06:55
"Sagar Surya: Cinema is for dreamers; when my friends were earning six figures, I didn't even have Rs 500 in my pocket",TOI,General,2026-06-19 14:06:55
'Balan – The Boy' Twitter review: Director Chidambaram wins praise for 'intense and gripping' psychological thriller,TOI,Tech,2026-06-19 14:06:55
"'i, Nobody' trailer out: Prithviraj Sukumaran hints at a dark secret; Parvathy Thiruvothu joins the mystery",TOI,Tech,2026-06-19 14:06:55
"Second chances in love see rising demand for couples therapy, finds study",TOI,General,2026-06-19 14:06:55
Why more young people are rejecting performative dating,TOI,General,2026-06-19 14:06:55
"Major gaps in POSH Act implementation explained: 2026 studies expose law failure, experts reveal why harassment at workplace is still not reported",TOI,Tech,2026-06-19 14:06:55
Inside the boom in ‘GLP-1-friendly’ eating,TOI,General,2026-06-19 14:06:55
Slow interiors era: Why Indian homes are moving away from “instagram interiors” and returning to slow living,TOI,General,2026-06-19 14:06:55
Making connections one pedal at a time: Is ultracyling the new golf?,TOI,General,2026-06-19 14:06:55
From Aishwarya to Sonam: Best beauty looks at Cannes 2018,TOI,Tech,2026-06-19 14:06:55
"Alia Bhatt, Aishwarya Rai and Priyanka Chopra love this HOT fashion trend!",TOI,Tech,2026-06-19 14:06:55
How to remove stubborn Holi colours from skin and hair,TOI,Tech,2026-06-19 14:06:55
5 Ways students can cut down their budget in Australia,TOI,General,2026-06-19 14:06:55
BOOKED AND BUSY: How Chennai’s book clubs are now the city’s comfort space,TOI,Tech,2026-06-19 14:06:55
Wildflowering: Letting love bloom naturally,TOI,General,2026-06-19 14:06:55
National Reading Day: 5 books that linger long after the last page,TOI,General,2026-06-19 14:06:55
"Quote of the day by Madeleine L'Engle: ""Life, with its rules, its obligations, and its freedoms, is like a sonnet: You’re given the form, but you have to...""",TOI,General,2026-06-19 14:06:55
Psychology says people who name their plants are more normal than you think,TOI,General,2026-06-19 14:06:55
"Psychology says if you argue with auto/ cab drivers about ₹10, you display these 5 traits and last one is surprisingly positive",TOI,Tech,2026-06-19 14:06:55
Keep mosquitoes away naturally: 8 plants every balcony garden should have,TOI,General,2026-06-19 14:06:55
Samantha Ruth Prabhu’s fiery red saree sets the stage for an iconic reunion with TN Chief Minister Thalapathy Vijay,TOI,General,2026-06-19 14:06:55
"Inside Mark Zuckerberg's watch collection: From a $120 Casio G-Shock to a $2 million J.P. Fourne watch, Meta founder's beautiful timepieces",TOI,General,2026-06-19 14:06:55
Spider-Man: Brand New Day promotions - Tom Holland kept it classic; Zendaya arrived in a leg-baring Louis Vuitton look,TOI,General,2026-06-19 14:06:55
'Putin has gone absolutely crazy': Trump loses cool over Russia’s massive drone attack in Ukraine,TOI,Tech,2026-06-19 14:06:55
"Independence Day 2019: Priyanka Chopra to Taimur Ali Khan, Bollywood celebrities who donned the Indian tri-color",TOI,Tech,2026-06-19 14:06:55
Nawab Shah and Pooja Batra's epic love story: These 10 pictures are proof,TOI,General,2026-06-19 14:06:55
Kriti Sanon: Interesting statements by the actress,TOI,General,2026-06-19 14:06:55
Bollywood couples who went public with their love affair in 2018,TOI,Tech,2026-06-19 14:06:55
Movies to watch on New Year's Eve,TOI,General,2026-06-19 14:06:55
